FPL Name;Understat Name
willian jose da silva;willian
willian borges da silva;willian
thiago thiago;thiago silva
thiago alcantara do nascimento;thiago alcantara
ruben santos gato alves dias;ruben dias
ruben nascimento vinagre;ruben vinagre
ruben goncalo silva nascimento vinagre;ruben vinagre
ruben gato alves dias;ruben dias
ruben diogo da silva neves;ruben neves
ruben da silva neves;ruben neves
rodrigo moreno;rodrigo
rodrigo hernandez;rodri
ricardo domingos barbosa pereira;ricardo pereira
ricardo barbosa pereira;ricardo pereira
lyanco silveira neves vojnovic;lyanco
lyanco evangelista silveira neves vojnovic;lyanco
junior firpo adames;junior firpo
jose diogo dalot teixeira;diogo dalot
joao pedro junqueira de jesus;joao pedro
joao pedro cavaco cancelo;joao cancelo
hector junior firpo adames;junior firpo
gabriel teodoro martinelli silva;gabriel martinelli
gabriel teodoro martinelli silva;gabriel martinelli
gabriel martinelli silva;gabriel martinelli
gabriel martinelli silva;gabriel martinelli
gabriel magalhaes;gabriel
gabriel fernando de jesus;gabriel jesus
gabriel dos santos magalhaes;gabriel
felipe augusto de almeida monteiro;felipe
felipe anderson pereira gomes;felipe anderson
emerson leite de souza junior;emerson
emerson aparecido leite de souza junior;emerson
diogo dalot teixeira;diogo dalot
bruno miguel borges fernandes;bruno fernandes
bruno borges fernandes;bruno fernandes
bobby decordova-reid;bobby reid
bobby de cordova-reid;bobby reid
bernardo veiga de carvalho e silva;bernardo silva
bernardo mota veiga de carvalho e silva;bernardo silva
bernardo fernandes da silva junior;bernardo